COMPLETED_INDEX=59 | 60/2633 | culture=Sudanese | OK 20/20
COMPLETED_INDEX=39 | 40/2633 | culture=Filipino | OK 20/20
COMPLETED_INDEX=19 | 20/2633 | culture=Lebanese | OK 20/20
COMPLETED_INDEX=99 | 100/2633 | culture=Colombian | OK 20/20
COMPLETED_INDEX=79 | 80/2633 | culture=Tongan | OK 20/20
COMPLETED_INDEX=179 | 180/2633 | culture=Singaporean | OK 19/20
COMPLETED_INDEX=159 | 160/2633 | culture=Iraqi | OK 20/20
COMPLETED_INDEX=139 | 140/2633 | culture=Italian | OK 20/20
COMPLETED_INDEX=119 | 120/2633 | culture=Vietnamese | OK 20/20
COMPLETED_INDEX=199 | 200/2633 | culture=Timorese | OK 20/20
COMPLETED_INDEX=239 | 240/2633 | culture=Argentine | OK 20/20
COMPLETED_INDEX=219 | 220/2633 | culture=Pakistani | OK 20/20
COMPLETED_INDEX=259 | 260/2633 | culture=Taiwanese | OK 20/20
COMPLETED_INDEX=299 | 300/2633 | culture=South Korean | OK 20/20
COMPLETED_INDEX=279 | 280/2633 | culture=Serbian | OK 20/20
COMPLETED_INDEX=359 | 360/2633 | culture=German | OK 11/20
COMPLETED_INDEX=319 | 320/2633 | culture=Burmese | OK 15/20
COMPLETED_INDEX=339 | 340/2633 | culture=Chinese | OK 20/20
COMPLETED_INDEX=379 | 380/2633 | culture=Romanian | OK 20/20
COMPLETED_INDEX=399 | 400/2633 | culture=Russian | OK 20/20
COMPLETED_INDEX=419 | 420/2633 | culture=Bangladeshi | OK 20/20
COMPLETED_INDEX=439 | 440/2633 | culture=Thai | OK 20/20
COMPLETED_INDEX=479 | 480/2633 | culture=Croatian | OK 20/20
COMPLETED_INDEX=459 | 460/2633 | culture=French | OK 20/20
COMPLETED_INDEX=519 | 520/2633 | culture=Austrian | OK 13/20
COMPLETED_INDEX=499 | 500/2633 | culture=Mauritian | OK 20/20
COMPLETED_INDEX=539 | 540/2633 | culture=South African | OK 20/20
COMPLETED_INDEX=579 | 580/2633 | culture=Afghan | OK 20/20
COMPLETED_INDEX=559 | 560/2633 | culture=Papua New Guinean | OK 20/20
COMPLETED_INDEX=619 | 620/2633 | culture=Sri Lankan | OK 20/20
COMPLETED_INDEX=599 | 600/2633 | culture=Australian | OK 20/20
