label_id,label,count,accuracy,model
1,African,5,0.8,roberta-base
2,African American,4,0.0,roberta-base
3,African Americans,8,0.25,roberta-base
4,Albanian,4,0.0,roberta-base
5,American,160,0.51875,roberta-base
6,Arab,3,0.0,roberta-base
7,Arabs,3,0.3333333333333333,roberta-base
8,Argentine,3,0.0,roberta-base
9,Argentinian,6,0.3333333333333333,roberta-base
10,Argentinians,7,0.0,roberta-base
11,Asian,13,0.0,roberta-base
12,Asian Americans,8,0.0,roberta-base
13,Asians,4,0.25,roberta-base
14,Australian,90,0.3333333333333333,roberta-base
15,Australians,25,0.0,roberta-base
16,Austrian,7,0.0,roberta-base
17,Austrians,4,0.0,roberta-base
18,Balinese,2,0.0,roberta-base
20,Belgian,8,0.0,roberta-base
21,Belgians,7,0.0,roberta-base
22,Black Americans,3,0.0,roberta-base
24,Brazilian,13,0.0,roberta-base
25,Brazilians,20,0.55,roberta-base
26,British,162,0.7716049382716049,roberta-base
27,Bulgarian,6,0.5,roberta-base
28,Bulgarians,3,0.0,roberta-base
30,Californians,12,0.3333333333333333,roberta-base
32,Canadian,32,0.0,roberta-base
33,Canadians,43,0.5581395348837209,roberta-base
34,Charlotte residents,2,0.5,roberta-base
35,Chicagoans,2,0.0,roberta-base
37,Chileans,3,0.0,roberta-base
38,Chinese,53,0.37735849056603776,roberta-base
40,Colombians,4,0.0,roberta-base
41,Croatian,6,0.0,roberta-base
43,Czech,4,0.0,roberta-base
44,Czechs,5,0.0,roberta-base
45,Danish,21,0.47619047619047616,roberta-base
46,Dutch,71,0.49295774647887325,roberta-base
47,Egyptian,5,0.0,roberta-base
48,Egyptians,6,0.0,roberta-base
49,English,7,0.0,roberta-base
50,Estonians,3,0.0,roberta-base
52,European,50,0.32,roberta-base
53,Europeans,42,0.11904761904761904,roberta-base
55,Filipino,21,0.0,roberta-base
56,Filipinos,33,0.42424242424242425,roberta-base
57,Finnish,22,0.2727272727272727,roberta-base
58,Finns,5,0.2,roberta-base
59,Floridians,4,0.5,roberta-base
60,French,101,0.48514851485148514,roberta-base
61,German,113,0.3185840707964602,roberta-base
62,Germans,71,0.5211267605633803,roberta-base
63,Greek,13,0.0,roberta-base
64,Greeks,4,0.0,roberta-base
65,Hawaiians,3,0.3333333333333333,roberta-base
66,Hispanic,3,0.0,roberta-base
69,Hungarians,12,0.6666666666666666,roberta-base
70,Icelandic,3,1.0,roberta-base
71,Indian,11,0.0,roberta-base
72,Indian and Indian American,3,0.6666666666666666,roberta-base
73,Indians,25,0.56,roberta-base
74,Indonesian,16,0.0,roberta-base
75,Indonesians,28,0.39285714285714285,roberta-base
