label_id,label,count,accuracy,model
1,African American,15,0.3333333333333333,roberta-large
2,Albanian,4,0.0,roberta-large
3,American,244,0.4713114754098361,roberta-large
4,Arab,6,0.0,roberta-large
5,Argentinian,16,0.5,roberta-large
6,Asian Americans,8,0.75,roberta-large
7,Australian,115,0.3217391304347826,roberta-large
8,Austrian,11,0.2727272727272727,roberta-large
10,Belgian,15,0.26666666666666666,roberta-large
12,Brazilian,33,0.24242424242424243,roberta-large
13,British,174,0.6379310344827587,roberta-large
14,Bulgarian,9,0.4444444444444444,roberta-large
17,Canadian,89,0.38202247191011235,roberta-large
18,Chilean,3,0.0,roberta-large
19,Chinese,53,0.4716981132075472,roberta-large
20,Colombian,4,0.0,roberta-large
21,Croatian,6,0.0,roberta-large
23,Czech,9,0.5555555555555556,roberta-large
24,Danish,21,0.5714285714285714,roberta-large
25,Dutch,73,0.5342465753424658,roberta-large
26,Egyptian,11,0.18181818181818182,roberta-large
27,Estonian,3,0.3333333333333333,roberta-large
30,Filipino,54,0.14814814814814814,roberta-large
31,Finnish,27,0.48148148148148145,roberta-large
32,French,101,0.26732673267326734,roberta-large
33,German,184,0.15217391304347827,roberta-large
34,Greek,17,0.11764705882352941,roberta-large
36,Hungarian,12,0.08333333333333333,roberta-large
37,Icelandic,3,1.0,roberta-large
38,Indian,41,0.36585365853658536,roberta-large
39,Indonesian,46,0.2826086956521739,roberta-large
42,Irish,28,0.25,roberta-large
43,Israeli,7,0.0,roberta-large
44,Italian,118,0.23728813559322035,roberta-large
45,Japanese,71,0.3380281690140845,roberta-large
46,Kenyan,4,0.25,roberta-large
47,Korean,71,0.28169014084507044,roberta-large
49,Latin American,10,0.4,roberta-large
50,Lebanese,3,0.0,roberta-large
51,Lithuanian,3,0.0,roberta-large
53,Malaysian,26,0.3076923076923077,roberta-large
56,Mexican,39,0.1282051282051282,roberta-large
57,Moroccan,2,0.0,roberta-large
58,Māori,2,0.5,roberta-large
59,Native Americans,3,0.3333333333333333,roberta-large
61,New Zealander,26,0.11538461538461539,roberta-large
62,Nigerian,13,0.38461538461538464,roberta-large
63,North Korean,7,0.7142857142857143,roberta-large
64,Norwegian,32,0.25,roberta-large
65,Pakistani,3,0.0,roberta-large
67,Panamanian,2,0.5,roberta-large
69,Peruvian,2,0.0,roberta-large
70,Polish,20,0.3,roberta-large
71,Portuguese,15,0.13333333333333333,roberta-large
72,Puerto Rican,7,0.2857142857142857,roberta-large
73,Romanian,11,0.09090909090909091,roberta-large
74,Russian,36,0.25,roberta-large
76,Saudi Arabian,2,0.5,roberta-large
77,Scottish,24,0.9166666666666666,roberta-large
78,Serbian,5,0.4,roberta-large
79,Singaporean,17,0.11764705882352941,roberta-large
80,Somali,2,0.0,roberta-large
81,South African,14,0.14285714285714285,roberta-large
82,South Korean,10,0.3,roberta-large
84,Spanish,69,0.5072463768115942,roberta-large
87,Swedish,56,0.6785714285714286,roberta-large
88,Swiss,15,0.3333333333333333,roberta-large
90,Taiwanese,4,0.0,roberta-large
91,Thai,6,0.0,roberta-large
94,Tunisian,2,0.0,roberta-large
95,Turkish,13,0.38461538461538464,roberta-large
96,Ugandan,3,0.6666666666666666,roberta-large
97,Ukrainian,11,0.09090909090909091,roberta-large
98,Venezuelan,2,0.0,roberta-large
99,Vietnamese,12,0.08333333333333333,roberta-large
100,Welsh,7,1.0,roberta-large
