CULTURE=Romanian | OK 2
CULTURE=Thai | OK 1
CULTURE=Russian | OK 4
CULTURE=Swiss | OK 6
CULTURE=Serbian | OK 9
CULTURE=Egyptian | OK 9
CULTURE=Croatian | OK 9
CULTURE=Israeli | OK 10
CULTURE=Somali | OK 11
CULTURE=Mexicans | OK 12
CULTURE=Austrian | OK 13
CULTURE=Saudi Arabian | OK 14
CULTURE=Malaysian | OK 16
CULTURE=Taiwanese | OK 16
CULTURE=Asian | OK 16
CULTURE=Californians | OK 16
CULTURE=New Yorkers | OK 16
CULTURE=Kenyan | OK 18
CULTURE=Sudanese | OK 18
CULTURE=Spaniards | OK 19
CULTURE=Hungarians | OK 18
CULTURE=Norwegians | OK 20
CULTURE=Argentine | OK 20
CULTURE=Iranian | OK 22
CULTURE=Ethiopian | OK 21
CULTURE=Afghan | OK 25
CULTURE=Texans | OK 24
CULTURE=Québécois | OK 25
CULTURE=Mauritian | OK 26
CULTURE=Burmese | OK 26
CULTURE=Nigerian | OK 27
CULTURE=Southern Americans | OK 27
CULTURE=Lebanese | OK 27
CULTURE=Nepalese | OK 29
CULTURE=Hungarian | OK 30
CULTURE=Maltese | OK 30
CULTURE=Cambodian | OK 30
CULTURE=Timorese | OK 30
CULTURE=Chilean | OK 31
CULTURE=Sri Lankan | OK 31
CULTURE=Cypriot | OK 31
CULTURE=Tongan | OK 31
CULTURE=Zimbabwean | OK 32
CULTURE=Hong Konger | OK 31
CULTURE=Palestinian | OK 32
CULTURE=Iraqi | OK 32
CULTURE=Bosnian | OK 32
CULTURE=Macedonian | OK 32
CULTURE=Papua New Guinean | OK 32
CULTURE=Laotian | OK 33
CULTURE=Pakistani | OK 33
CULTURE=Bangladeshi | OK 33
CULTURE=African Americans | OK 33
CULTURE=Belgian | OK 34
CULTURE=Peruvian | OK 34
CULTURE=Colombian | OK 34
CULTURE=Southerners | OK 36
CULTURE=Midwesterners | OK 36
CULTURE=Asian Americans | OK 36
CULTURE=North Korean | OK 36
CULTURE=Singaporeans | OK 37
CULTURE=Argentinians | OK 37
CULTURE=Samoan | OK 37
CULTURE=Venezuelan | OK 37
CULTURE=South Sudanese | OK 39
CULTURE=English | OK 38
CULTURE=Belgians | OK 40
CULTURE=Welsh | OK 40
CULTURE=Swedes | OK 41
CULTURE=Egyptians | OK 43
CULTURE=Bulgarian | OK 44
CULTURE=Argentinian | OK 44
CULTURE=Latin Americans | OK 44
CULTURE=African | OK 44
CULTURE=Londoners | OK 45
CULTURE=Fijian | OK 45
CULTURE=Czechs | OK 48
CULTURE=Austrians | OK 48
CULTURE=Finns | OK 48
CULTURE=Italian and Italian-American | OK 48
CULTURE=African American | OK 48
CULTURE=Albanian | OK 48
CULTURE=Asians | OK 48
CULTURE=Syrian | OK 48
CULTURE=Israelis | OK 49
CULTURE=Colombians | OK 49
CULTURE=Greeks | OK 49
CULTURE=Floridians | OK 49
CULTURE=Minnesotans | OK 49
CULTURE=Romanians | OK 51
CULTURE=Torontonians | OK 51
CULTURE=Puerto Rican | OK 52
CULTURE=Arab | OK 52
CULTURE=North Americans | OK 52
CULTURE=Puerto Ricans | OK 52
CULTURE=Czech | OK 52
CULTURE=Chileans | OK 53
CULTURE=Arabs | OK 53
CULTURE=Malay | OK 53
CULTURE=Indian and Indian American | OK 53
CULTURE=Westerners | OK 54
CULTURE=Black Americans | OK 54
CULTURE=Estonians | OK 54
CULTURE=Oregonians | OK 54
CULTURE=Nordic | OK 54
CULTURE=Pakistanis | OK 54
CULTURE=Bulgarians | OK 54
CULTURE=Ukrainians | OK 54
CULTURE=Native Americans | OK 55
CULTURE=Latinos | OK 55
CULTURE=Nigerians | OK 55
CULTURE=Lithuanians | OK 55
CULTURE=Middle Eastern | OK 56
CULTURE=Hawaiians | OK 56
CULTURE=Icelandic | OK 56
CULTURE=Latin America | OK 56
CULTURE=Nederlanders | OK 56
CULTURE=Hispanic | OK 56
CULTURE=Southern Californians | OK 56
CULTURE=Balinese | OK 56
CULTURE=Ugandan | OK 56
CULTURE=Peruvians | OK 57
CULTURE=Washingtonians | OK 57
CULTURE=Panamanians | OK 57
CULTURE=Charlotte residents | OK 57
CULTURE=Turks | OK 57
CULTURE=Latin American | OK 57
CULTURE=Scandinavians | OK 58
CULTURE=Mexican and Mexican American | OK 58
CULTURE=Māori | OK 58
CULTURE=Chicagoans | OK 58
CULTURE=South Africans | OK 58
CULTURE=Venezuelans | OK 58
CULTURE=Sicilian | OK 58
CULTURE=Tunisian | OK 58
CULTURE=Malayalees | OK 58
CULTURE=Moroccans | OK 58
